Ticker,Price/Earnings,Price/Earnings_ind,Price/Earnings_sp,Price/Earnings_5yavg,Price/Book,Price/Book_ind,Price/Book_sp,Price/Book_5yavg,Price/Sales,Price/Sales_ind,Price/Sales_sp,Price/Sales_5yavg,Price/Cash Flow,Price/Cash Flow_ind,Price/Cash Flow_sp,Price/Cash Flow_3yavg,Dividend Yield %,Dividend Yield %_ind,Dividend Yield %_sp,Dividend Yield %_5yavg,PEG Ratio
MMM,28.4,24.1,24,21,11.6,3.8,3.4,7.3,4.4,2,2.4,3.3,22.1,19.7,15,17.1,2.1,2.4,1.8,2.2,11.6
AOS,29.9,24.1,24,26.2,6.3,3.8,3.4,4.4,3.6,2,2.4,2.6,32,19.7,15,23.1,1,2.4,1.8,1,6.3
ABT,47.6,43.7,24,33.1,3.1,3.8,3.4,2.8,3.8,4.4,2.4,2.8,18.8,25.8,15,20.1,1.9,1.1,1.8,2,3.1
ABBV,27,23.6,24,24.4,26.6,4.3,3.4,24.7,6.6,4,2.4,4.4,20.1,16.5,15,17.5,2.4,3.3,1.8,3.1,26.6
ACN,27.2,20.6,24,19.4,10.8,5.5,3.4,10.3,2.7,1.8,2.4,2.1,20.7,3.2,15,17.3,1.7,2,1.8,2,10.8
ATVI,45.9,46.3,24,26.7,5.1,6.4,3.4,2.8,7.3,6.5,2.4,4.8,26.7,27.7,15,18.3,0.5,0.2,1.8,0.8,5.1
AYI,20.2,19.1,24,34.3,3.6,2.6,3.4,5.4,1.8,1.7,2.4,2.6,15.7,1.4,15,29.6,0.4,1.4,1.8,0.3,3.6
ADBE,55.6,115.5,24,79.8,10.9,6.9,3.4,6.1,12.9,5.9,2.4,8.9,32.3,17.8,15,29.5,Ñ,0.4,1.8,Ñ,10.9
AAP,22.9,64.1,24,22,2.5,11.1,3.4,4.7,0.9,2.9,2.4,1.1,17,8.4,15,17.6,0.2,0.1,1.8,0.2,2.5
AMD,Ñ,30.2,24,50.3,21,4.3,3.4,19,2.2,4.5,2.4,1,Ñ,1.6,15,123.7,Ñ,2,1.8,Ñ,21
AES,Ñ,751.7,24,420,2.1,1.7,3.4,2.3,0.5,1.5,2.4,0.6,2.8,5.7,15,3.5,4.8,4.2,1.8,3,2.1
AET,33.2,20.5,24,18.6,3.7,3.3,3.4,2.3,1,0.7,2.4,0.6,45.6,10.8,15,14.5,1.1,1.2,1.8,1,3.7
AMG,19.5,19.9,24,26.2,2.8,1.7,3.4,3.8,4.7,3.6,2.4,4.5,9.2,27.1,15,8.7,0.5,2.7,1.8,Ñ,2.8
AFL,12.3,20.3,24,10.3,1.5,1.3,3.4,1.6,1.5,1,2.4,1.3,5.3,1,15,4.5,2.1,1.8,1.8,2.3,1.5
A,31.9,44.6,24,26.7,4.5,3.6,3.4,3.4,4.9,3.3,2.4,3,24.6,23.4,15,25.1,0.8,0.4,1.8,1,4.5
AIG,Ñ,26.8,24,85.9,0.7,1.3,3.4,0.7,1.2,1.5,2.4,1.2,Ñ,13.4,15,26.3,2.1,0.5,1.8,1.3,0.7
APD,33.6,29.5,24,24.3,3.4,3,3.4,3.8,4.1,2.1,2.4,2.9,13.8,16.1,15,12.6,2.4,2.3,1.8,2.4,3.4
AKAM,38.4,115.5,24,33.8,3.3,6.9,3.4,3.4,4.5,5.9,2.4,5.3,14.3,17.8,15,13.9,Ñ,0.4,1.8,Ñ,3.3
ALK,10.4,13.6,24,12.6,2.3,3.1,3.4,3.4,1.1,1,2.4,1.4,5.2,3.4,15,7,1.9,0.8,1.8,1.1,2.3
ALB,38.5,21.5,24,23.9,3.1,5.4,3.4,3.1,4.2,1.9,2.4,2.5,34.3,14.6,15,18.8,1.2,1.6,1.8,1.6,3.1
ARNC,Ñ,24.1,24,Ñ,2,3.8,3.4,Ñ,0.9,2,2.4,Ñ,14.5,19.7,15,Ñ,1,2.4,1.8,Ñ,2
ARE,74.7,39.4,24,84.3,2,1.9,3.4,1.9,10.7,7,2.4,9.7,24.1,18.1,15,21.6,2.9,3.4,1.8,3.3,2
ALXN,55.1,75.9,24,119.9,2.7,7.1,3.4,7.4,6.9,6.6,2.4,14.2,21.9,13,15,38.1,Ñ,0.8,1.8,Ñ,2.7
ALGN,69.5,43.7,24,50.7,15.6,3.8,3.4,7.6,13.9,4.4,2.4,7.3,52.4,25.8,15,31.2,Ñ,1.1,1.8,Ñ,15.6
ALLE,22.3,44,24,Ñ,20.3,4.3,3.4,Ñ,3.2,1.8,2.4,Ñ,20.5,15.4,15,23.5,0.8,0.7,1.8,Ñ,20.3
AGN,Ñ,Ñ,24,218.9,0.8,1.4,3.4,2.9,3.6,2.1,2.4,4.4,14.9,5.8,15,36.6,1.7,1.1,1.8,Ñ,0.8
ADS,25.5,25.3,24,30.6,8.3,4.2,3.4,11.6,1.8,4.2,2.4,2.8,5.4,1.5,15,9.2,0.9,0.8,1.8,Ñ,8.3
LNT,20.7,19.6,24,19.3,2.1,1.5,3.4,2,2.6,1.8,2.4,2.2,8.1,Ñ,15,9.3,3.3,3.5,1.8,3.3,2.1
ALL,12.7,22.4,24,13.1,1.6,1.4,3.4,1.3,0.9,1.3,2.4,0.8,7.5,10.2,15,8,1.6,1.7,1.8,1.7,1.6
MO,8,12.4,24,18.4,10,35.9,3.4,27.1,6.3,5.3,2.4,5.6,27.9,21.9,15,25,4,3.5,1.8,3.9,10
AMZN,217.8,64.1,24,490.2,23.4,11.1,3.4,18.7,3.7,2.9,2.4,2.5,35.8,8.4,15,27.7,Ñ,0.1,1.8,Ñ,23.4
AEE,22.1,19.6,24,19.1,1.8,1.5,3.4,1.6,2.2,1.8,2.4,1.8,6.1,Ñ,15,6.2,3.2,3.5,1.8,3.6,1.8
AAL,12.2,13.6,24,7.8,5.9,3.1,3.4,8.2,0.6,1,2.4,0.5,4.9,3.4,15,6,0.8,0.8,1.8,Ñ,5.9
AEP,16.9,19.6,24,25.7,1.8,1.5,3.4,1.7,2.1,1.8,2.4,1.8,7.5,Ñ,15,6.9,3.7,3.5,1.8,3.6,1.8
AXP,17.7,25.3,24,15.6,3.7,4.2,3.4,3.8,2.5,4.2,2.4,2.4,6.9,1.5,15,7.8,1.5,0.8,1.8,1.3,3.7
AMT,51.7,17.3,24,57.5,8.8,1.9,3.4,7.9,9,1.4,2.4,9.5,20.5,Ñ,15,19.2,1.9,3.9,1.8,1.7,8.8
AWK,26.3,18.8,24,24.3,2.5,2.3,3.4,2.1,4.2,3.3,2.4,3.4,10.6,6.2,15,10.4,2.1,1.7,1.8,2.2,2.5
