Ticker,Assessment,Fair Value,FiveStarPrice,OneStarPrice
MMM,Overvalued,197,157.6,246.25
ABT,Overvalued,50,35,67.5
ABBV,Overvalued,94,65.8,126.9
ATVI,Fairly Valued,59,35.4,91.45
ADBE,Undervalued,220,154,297
AAP,Undervalued,155,108.5,209.25
AMD,Overvalued,9,4.5,15.75
AES,Fairly Valued,12,7.2,18.6
AET,Fairly Valued,181,126.7,244.35
AMG,Undervalued,224,156.8,302.4
AFL,Overvalued,81.39,75.73,87.48
AIG,Undervalued,76,53.2,102.6
AKAM,Overvalued,55,33,85.25
ALK,Fairly Valued,74.57,57.11,97.37
ALB,Fairly Valued,120,72,186
ARNC,Fairly Valued,25,15,38.75
ARE,Fairly Valued,112.22,87.5,143.93
ALXN,Undervalued,170,102,263.5
ALGN,Fairly Valued,206.86,161.05,265.7
ALLE,Fairly Valued,83,58.1,112.05
AGN,Significantly Undervalued,263,184.1,355.05
ADS,Fairly Valued,240,168,324
LNT,Fairly Valued,38,30.4,47.5
ALL,Overvalued,78,54.6,105.3
MO,Fairly Valued,64,51.2,80
AMZN,Fairly Valued,"1,600.00",960,"2,480.00"
AAL,Fairly Valued,49,24.5,85.75
AEP,Fairly Valued,68,54.4,85
AXP,Fairly Valued,103,61.8,159.65
AWK,Fairly Valued,80,64,100
AMP,Fairly Valued,136,68,238
ABC,Undervalued,106,74.2,143.1
AMGN,Fairly Valued,198,138.6,267.3
APC,Fairly Valued,55,33,85.25
ADI,Fairly Valued,90,63,121.5
ANDV,Undervalued,121,72.6,187.55
ANSS,Significantly Overvalued,91,54.6,141.05
AON,Overvalued,122,85.4,164.7
APA,Fairly Valued,39.54,30.22,51.73
AAPL,Fairly Valued,170,102,263.5
AMAT,Fairly Valued,49,29.4,75.95
APTV,Significantly Overvalued,56,33.6,86.8
ADM,Fairly Valued,45,27,69.75
AJG,Significantly Overvalued,60.92,56.31,65.9
T,Fairly Valued,40,28,54
ADSK,Overvalued,80,48,124
ADP,Overvalued,89,62.3,120.15
BHGE,Fairly Valued,32,19.2,49.6
BLL,Fairly Valued,37,25.9,49.95
BAC,Fairly Valued,27,16.2,41.85
BK,Fairly Valued,55,38.5,74.25
BAX,Overvalued,53,37.1,71.55
BBT,Fairly Valued,51,35.7,68.85
BDX,Fairly Valued,225,157.5,303.75
BRKB,Fairly Valued,220,154,297
BBY,Overvalued,48,28.8,74.4
BIIB,Undervalued,403,282.1,544.05
BA,Overvalued,284,170.4,440.2
BWA,Fairly Valued,55,33,85.25
BSX,Fairly Valued,26,15.6,40.3
BMY,Fairly Valued,64,44.8,86.4
AVGO,Fairly Valued,255,153,395.25
BFB,Significantly Overvalued,50,40,62.5
CHRW,Overvalued,81,56.7,109.35
COG,Fairly Valued,23.47,19.58,28.12
CDNS,Fairly Valued,38.72,31.95,46.92
CPB,Undervalued,52,36.4,70.2
COF,Undervalued,120,84,162
KMX,Fairly Valued,67,40.2,103.85
CCL,Fairly Valued,67,40.2,103.85
CAT,Overvalued,125,87.5,168.75
CBOE,Fairly Valued,120.36,103.8,139.57
CBG,Fairly Valued,40,24,62
CBS,Undervalued,71,42.6,110.05
CELG,Undervalued,116,81.2,156.6
CNC,Overvalued,85.03,68.19,106.02
CNP,Fairly Valued,28,19.6,37.8
CTL,Fairly Valued,19,9.5,33.25
CERN,Fairly Valued,66,46.2,89.1
CF,Overvalued,28,14,49
SCHW,Fairly Valued,57,34.2,88.35
CHTR,Fairly Valued,410.08,313.51,536.39
CHK,Fairly Valued,3.11,1.76,5.5
CVX,Fairly Valued,106,74.2,143.1
CMG,Undervalued,350,210,542.5
CB,Fairly Valued,134,93.8,180.9
XEC,Fairly Valued,102.39,88.22,118.84
CSCO,Overvalued,34,23.8,45.9
C,Fairly Valued,74,44.4,114.7
CFG,Fairly Valued,39.99,30.74,52.01
CTXS,Overvalued,64,38.4,99.2
CLX,Fairly Valued,129,103.2,161.25
CME,Overvalued,119,59.5,208.25
CMS,Overvalued,40,32,50
KO,Fairly Valued,46.5,37.2,58.13
CTSH,Fairly Valued,80,48,124
CL,Undervalued,77,61.6,96.25
CMCSA,Fairly Valued,42,29.4,56.7
CMA,Overvalued,81,56.7,109.35
CAG,Overvalued,33,23.1,44.55
COP,Fairly Valued,58,34.8,89.9
ED,Fairly Valued,75,60,93.75
STZ,Overvalued,182,127.4,245.7
COO,Fairly Valued,230,161,310.5
GLW,Fairly Valued,30,18,46.5
COST,Overvalued,163,130.4,203.75
COTY,Overvalued,15.9,11.13,21.47
CCI,Fairly Valued,100,70,135
CSRA,Fairly Valued,34,23.8,45.9
CSX,Fairly Valued,51,35.7,68.85
CMI,Overvalued,146,87.6,226.3
CVS,Undervalued,99,69.3,133.65
DHI,Fairly Valued,44,26.4,68.2
DHR,Overvalued,86,60.2,116.1
DRI,Fairly Valued,96,57.6,148.8
DVA,Fairly Valued,68,47.6,91.8
DE,Overvalued,127,88.9,171.45
DAL,Undervalued,65,39,100.75
XRAY,Overvalued,49,34.3,66.15
DVN,Fairly Valued,40.62,30.71,53.74
DLR,Fairly Valued,108.73,93.6,126.3
DFS,Fairly Valued,77,46.2,119.35
DISCA,Undervalued,31,18.6,48.05
DISCK,Undervalued,31,18.6,48.05
DISH,Undervalued,57,28.5,99.75
DIS,Undervalued,130,91,175.5
DG,Overvalued,84,58.8,113.4
DLTR,Overvalued,93,65.1,125.55
D,Undervalued,87,69.6,108.75
DWDP,Overvalued,54,32.4,83.7
DUK,Undervalued,87,69.6,108.75
DXC,Fairly Valued,86,51.6,133.3
ETFC,Fairly Valued,45.71,36.63,57.04
ETN,Fairly Valued,76,53.2,102.6
EBAY,Overvalued,36,21.6,55.8
ECL,Overvalued,108,75.6,145.8
EIX,Undervalued,66,52.8,82.5
EW,Fairly Valued,111,66.6,172.05
EA,Overvalued,103,61.8,159.65
LLY,Undervalued,94,65.8,126.9
EMR,Fairly Valued,67,46.9,90.45
ETR,Fairly Valued,79,55.3,106.65
EVHC,Fairly Valued,45.74,24.28,86.16
EOG,Overvalued,88,52.8,136.4
EQT,Fairly Valued,48.81,39.78,59.89
EFX,Fairly Valued,122,73.2,189.1
ESS,Fairly Valued,248,173.6,334.8
EL,Fairly Valued,131,91.7,176.85
RE,Fairly Valued,250.82,219.03,287.23
ES,Overvalued,53,42.4,66.25
EXC,Overvalued,33,23.1,44.55
EXPE,Undervalued,178,106.8,275.9
EXPD,Overvalued,54,37.8,72.9
ESRX,Undervalued,89,62.3,120.15
XOM,Fairly Valued,78,62.4,97.5
FFIV,Overvalued,117,81.9,157.95
FB,Fairly Valued,198,118.8,306.9
FAST,Fairly Valued,52,36.4,70.2
FRT,Fairly Valued,122,85.4,164.7
FDX,Fairly Valued,247,172.9,333.45
FIS,Significantly Overvalued,68,47.6,91.8
FITB,Fairly Valued,31,21.7,41.85
FE,Significantly Undervalued,40,32,50
FLR,Undervalued,69,41.4,106.95
FMC,Fairly Valued,75,37.5,131.25
FL,Fairly Valued,53.97,30.91,94.23
F,Undervalued,15,9,23.25
FTV,Significantly Overvalued,65.76,60.52,71.44
BEN,Fairly Valued,45,27,69.75
FCX,Overvalued,8.3,2.08,33.2
GPS,Fairly Valued,31,18.6,48.05
GRMN,Fairly Valued,56,33.6,86.8
IT,Fairly Valued,122.83,106.82,141.25
GD,Fairly Valued,200,140,270
GE,Undervalued,23.5,14.1,36.43
GIS,Undervalued,61,48.8,76.25
GPC,Fairly Valued,96,67.2,129.6
GGP,Fairly Valued,19.4,11.64,30.07
