Ticker,InstOwnerPercent,TotalShareHolders,TotalInstitutionalShares,OwnerNames,SharesHeldIndividual,SharesValueIndividualin1000,TotalSharesinMarketinMillions,TotalValueHoldingsin1000
A,84.05%,659,"271,497,349",PRICE T ROWE ASSOCIATES INC /MD/,"28,550,067","1,943,118",323,"$18,478 "
A,84.05%,659,"271,497,349",BLACKROCK INC.,"23,753,172","1,616,641",323,"$18,478 "
A,84.05%,659,"271,497,349",VANGUARD GROUP INC,"23,243,992","1,581,986",323,"$18,478 "
A,84.05%,659,"271,497,349",FMR LLC,"18,358,538","1,249,482",323,"$18,478 "
A,84.05%,659,"271,497,349",STATE STREET CORP,"13,928,169","947,951",323,"$18,478 "
A,84.05%,659,"271,497,349",JPMORGAN CHASE & CO,"10,850,243","738,468",323,"$18,478 "
A,84.05%,659,"271,497,349",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,"6,921,645","471,087",323,"$18,478 "
A,84.05%,659,"271,497,349",BANK OF NEW YORK MELLON CORP,"5,673,546","386,142",323,"$18,478 "
A,84.05%,659,"271,497,349",PUTNAM INVESTMENTS LLC,"5,141,378","349,922",323,"$18,478 "
A,84.05%,659,"271,497,349",PRIMECAP MANAGEMENT CO/CA/,"4,889,900","332,807",323,"$18,478 "
A,84.05%,659,"271,497,349",GOLDMAN SACHS GROUP INC,"4,885,778","332,526",323,"$18,478 "
A,84.05%,659,"271,497,349",CANTILLON CAPITAL MANAGEMENT LLC,"4,870,677","331,498",323,"$18,478 "
A,84.05%,659,"271,497,349","D. E. SHAW & CO., INC.","3,911,551","266,220",323,"$18,478 "
A,84.05%,659,"271,497,349",NORTHERN TRUST CORP,"3,855,675","262,417",323,"$18,478 "
A,84.05%,659,"271,497,349",ORBIMED ADVISORS LLC,"3,638,900","247,664",323,"$18,478 "
A,84.05%,659,"271,497,349",AMERICAN CENTURY COMPANIES INC,"3,521,222","239,654",323,"$18,478 "
A,84.05%,659,"271,497,349","GEODE CAPITAL MANAGEMENT, LLC","3,479,681","236,827",323,"$18,478 "
A,84.05%,659,"271,497,349",VICTORY CAPITAL MANAGEMENT INC,"2,886,377","196,447",323,"$18,478 "
A,84.05%,659,"271,497,349",WELLINGTON MANAGEMENT GROUP LLP,"2,817,397","191,752",323,"$18,478 "
A,84.05%,659,"271,497,349","OPPENHEIMERFUNDS, INC.","2,595,177","176,628",323,"$18,478 "
A,84.05%,659,"271,497,349",ALLIANZ ASSET MANAGEMENT GMBH,"2,562,600","174,411",323,"$18,478 "
A,84.05%,659,"271,497,349","HOPLITE CAPITAL MANAGEMENT, L.P.","2,493,054","169,677",323,"$18,478 "
A,84.05%,659,"271,497,349",WELLS FARGO & COMPANY/MN,"2,184,502","148,677",323,"$18,478 "
A,84.05%,659,"271,497,349",TIAA CREF INVESTMENT MANAGEMENT LLC,"2,118,140","144,161",323,"$18,478 "
A,84.05%,659,"271,497,349",IMPAX ASSET MANAGEMENT LTD,"2,106,322","143,356",323,"$18,478 "
A,84.05%,659,"271,497,349",MILLENNIUM MANAGEMENT LLC,"2,099,974","142,924",323,"$18,478 "
A,84.05%,659,"271,497,349",BANK OF AMERICA CORP /DE/,"1,883,807","128,212",323,"$18,478 "
A,84.05%,659,"271,497,349",LEGAL & GENERAL GROUP PLC,"1,690,240","115,038",323,"$18,478 "
A,84.05%,659,"271,497,349","TEACHERS ADVISORS, LLC","1,595,041","108,558",323,"$18,478 "
A,84.05%,659,"271,497,349",JANUS CAPITAL MANAGEMENT LLC,"1,554,395","105,792",323,"$18,478 "
A,84.05%,659,"271,497,349",AQR CAPITAL MANAGEMENT LLC,"1,538,434","104,706",323,"$18,478 "
A,84.05%,659,"271,497,349",FRANKLIN RESOURCES INC,"1,421,132","96,722",323,"$18,478 "
A,84.05%,659,"271,497,349","PNC FINANCIAL SERVICES GROUP, INC.","1,401,491","95,385",323,"$18,478 "
A,84.05%,659,"271,497,349",VOYA INVESTMENT MANAGEMENT LLC,"1,367,072","93,043",323,"$18,478 "
A,84.05%,659,"271,497,349",INVESCO LTD.,"1,356,853","92,347",323,"$18,478 "
A,84.05%,659,"271,497,349",PRINCIPAL FINANCIAL GROUP INC,"1,315,644","89,543",323,"$18,478 "
A,84.05%,659,"271,497,349",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"1,291,070","87,870",323,"$18,478 "
A,84.05%,659,"271,497,349",SILVERCREST ASSET MANAGEMENT GROUP LLC,"1,197,413","81,496",323,"$18,478 "
A,84.05%,659,"271,497,349",SWISS NATIONAL BANK,"1,184,847","80,641",323,"$18,478 "
A,84.05%,659,"271,497,349",DIMENSIONAL FUND ADVISORS LP,"1,130,402","76,935",323,"$18,478 "
A,84.05%,659,"271,497,349",PANAGORA ASSET MANAGEMENT INC,"1,072,118","72,968",323,"$18,478 "
A,84.05%,659,"271,497,349",MARSHALL WACE NORTH AMERICA L.P.,"1,040,971","70,848",323,"$18,478 "
A,84.05%,659,"271,497,349",DEUTSCHE BANK AG\,"1,035,996","70,510",323,"$18,478 "
A,84.05%,659,"271,497,349",AMERIPRISE FINANCIAL INC,"1,027,119","69,906",323,"$18,478 "
A,84.05%,659,"271,497,349","SUMITOMO MITSUI TRUST HOLDINGS, INC.","1,009,185","68,685",323,"$18,478 "
AAL,81.02%,614,"387,668,990",PRICE T ROWE ASSOCIATES INC /MD/,"71,158,129","3,657,528",478,"$19,926 "
AAL,81.02%,614,"387,668,990",PRIMECAP MANAGEMENT CO/CA/,"51,036,539","2,623,278",478,"$19,926 "
AAL,81.02%,614,"387,668,990",BERKSHIRE HATHAWAY INC,"47,000,000","2,415,800",478,"$19,926 "
AAL,81.02%,614,"387,668,990",VANGUARD GROUP INC,"28,777,665","1,479,172",478,"$19,926 "
AAL,81.02%,614,"387,668,990",BLACKROCK INC.,"24,515,320","1,260,087",478,"$19,926 "
AAL,81.02%,614,"387,668,990",STATE STREET CORP,"15,508,401","797,132",478,"$19,926 "
AAL,81.02%,614,"387,668,990",FMR LLC,"13,403,264","688,928",478,"$19,926 "
AAL,81.02%,614,"387,668,990",INVESCO LTD.,"5,111,194","262,715",478,"$19,926 "
AAL,81.02%,614,"387,668,990","GEODE CAPITAL MANAGEMENT, LLC","4,764,562","244,898",478,"$19,926 "
AAL,81.02%,614,"387,668,990",NORTHERN TRUST CORP,"4,648,001","238,907",478,"$19,926 "
AAL,81.02%,614,"387,668,990",CITADEL ADVISORS LLC,"4,197,618","215,758",478,"$19,926 "
AAL,81.02%,614,"387,668,990",PUTNAM INVESTMENTS LLC,"3,914,569","201,209",478,"$19,926 "
AAL,81.02%,614,"387,668,990",LSV ASSET MANAGEMENT,"3,758,992","193,212",478,"$19,926 "
AAL,81.02%,614,"387,668,990",NEUBERGER BERMAN GROUP LLC,"3,502,545","180,031",478,"$19,926 "
AAL,81.02%,614,"387,668,990","NUVEEN ASSET MANAGEMENT, LLC","3,484,879","179,123",478,"$19,926 "
AAL,81.02%,614,"387,668,990","STELLIAM INVESTMENT MANAGEMENT, LP","3,180,000","163,452",478,"$19,926 "
AAL,81.02%,614,"387,668,990",MORGAN STANLEY,"3,149,790","161,899",478,"$19,926 "
AAL,81.02%,614,"387,668,990",GOLDMAN SACHS GROUP INC,"3,126,769","160,716",478,"$19,926 "
AAL,81.02%,614,"387,668,990",BANK OF NEW YORK MELLON CORP,"3,063,005","157,438",478,"$19,926 "
AAL,81.02%,614,"387,668,990","BRANDYWINE GLOBAL INVESTMENT MANAGEMENT, LLC","2,844,489","146,207",478,"$19,926 "
AAL,81.02%,614,"387,668,990",CSS LLC/IL,"2,510,568","129,043",478,"$19,926 "
AAL,81.02%,614,"387,668,990",BOSTON PARTNERS,"2,484,614","127,709",478,"$19,926 "
AAL,81.02%,614,"387,668,990",HOSKING PARTNERS LLP,"2,344,886","120,527",478,"$19,926 "
AAL,81.02%,614,"387,668,990",TIAA CREF INVESTMENT MANAGEMENT LLC,"2,094,521","107,658",478,"$19,926 "
AAL,81.02%,614,"387,668,990",MILLENNIUM MANAGEMENT LLC,"1,975,146","101,523",478,"$19,926 "
AAL,81.02%,614,"387,668,990",PAR CAPITAL MANAGEMENT INC,"1,666,351","85,650",478,"$19,926 "
AAL,81.02%,614,"387,668,990","MILLER VALUE PARTNERS, LLC","1,658,125","85,228",478,"$19,926 "
AAL,81.02%,614,"387,668,990",SCHWAB CHARLES INVESTMENT MANAGEMENT INC,"1,591,044","81,780",478,"$19,926 "
AAL,81.02%,614,"387,668,990","TEACHERS ADVISORS, LLC","1,580,247","81,225",478,"$19,926 "
AAL,81.02%,614,"387,668,990","CYRUS CAPITAL PARTNERS, L.P.","1,500,000","77,100",478,"$19,926 "
AAL,81.02%,614,"387,668,990",DIMENSIONAL FUND ADVISORS LP,"1,476,933","75,914",478,"$19,926 "
AAL,81.02%,614,"387,668,990",RWC ASSET MANAGEMENT LLP,"1,445,910","74,320",478,"$19,926 "
AAL,81.02%,614,"387,668,990",GENDELL JEFFREY L,"1,393,753","71,639",478,"$19,926 "
AAL,81.02%,614,"387,668,990",WELLINGTON MANAGEMENT GROUP LLP,"1,295,878","66,608",478,"$19,926 "
AAL,81.02%,614,"387,668,990",CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,"1,284,168","66,006",478,"$19,926 "
AAL,81.02%,614,"387,668,990",PARAMETRIC PORTFOLIO ASSOCIATES LLC,"1,283,784","65,986",478,"$19,926 "
AAL,81.02%,614,"387,668,990",DEUTSCHE BANK AG\,"1,191,273","61,231",478,"$19,926 "
AAL,81.02%,614,"387,668,990","ADAGE CAPITAL PARTNERS GP, L.L.C.","1,152,922","59,260",478,"$19,926 "
AAL,81.02%,614,"387,668,990",BRIDGEWAY CAPITAL MANAGEMENT INC,"1,105,052","56,800",478,"$19,926 "
AAL,81.02%,614,"387,668,990",WELLS FARGO & COMPANY/MN,"1,068,370","54,914",478,"$19,926 "
AAL,81.02%,614,"387,668,990",GUGGENHEIM CAPITAL LLC,"1,040,700","53,492",478,"$19,926 "
AAL,81.02%,614,"387,668,990","KOVITZ INVESTMENT GROUP PARTNERS, LLC","1,037,777","53,342",478,"$19,926 "
AAL,81.02%,614,"387,668,990",MASTERS CAPITAL MANAGEMENT LLC,"1,000,000","51,400",478,"$19,926 "
AAL,81.02%,614,"387,668,990",ROYAL BANK OF CANADA,"957,649","49,223",478,"$19,926 "
AAL,81.02%,614,"387,668,990",NEW YORK STATE COMMON RETIREMENT FUND,"949,377","48,798",478,"$19,926 "
AAP,104.99%,499,"77,588,540",VANGUARD GROUP INC,"7,048,375","774,828",74,"$8,529 "
AAP,104.99%,499,"77,588,540",BLACKROCK INC.,"4,446,554","488,810",74,"$8,529 "
AAP,104.99%,499,"77,588,540",STARBOARD VALUE LP,"3,175,000","349,028",74,"$8,529 "
AAP,104.99%,499,"77,588,540",STATE STREET CORP,"3,129,749","344,053",74,"$8,529 "
AAP,104.99%,499,"77,588,540",ARTISAN PARTNERS LIMITED PARTNERSHIP,"2,922,315","321,250",74,"$8,529 "
AAP,104.99%,499,"77,588,540",INVESCO LTD.,"2,918,392","320,819",74,"$8,529 "
AAP,104.99%,499,"77,588,540",AMERICAN CENTURY COMPANIES INC,"2,495,925","274,377",74,"$8,529 "
AAP,104.99%,499,"77,588,540",SOROBAN CAPITAL PARTNERS LP,"2,402,883","264,149",74,"$8,529 "
AAP,104.99%,499,"77,588,540",LONE PINE CAPITAL LLC,"2,358,917","259,316",74,"$8,529 "
AAP,104.99%,499,"77,588,540",WELLINGTON MANAGEMENT GROUP LLP,"2,230,986","245,252",74,"$8,529 "
AAP,104.99%,499,"77,588,540",CAUSEWAY CAPITAL MANAGEMENT LLC,"2,014,616","221,467",74,"$8,529 "
AAP,104.99%,499,"77,588,540","SCHARF INVESTMENTS, LLC","1,692,559","186,063",74,"$8,529 "
AAP,104.99%,499,"77,588,540",SLATE PATH CAPITAL LP,"1,495,000","164,345",74,"$8,529 "
AAP,104.99%,499,"77,588,540",NEUBERGER BERMAN GROUP LLC,"1,339,056","147,202",74,"$8,529 "
AAP,104.99%,499,"77,588,540",CAPITAL INTERNATIONAL INVESTORS,"1,328,500","146,042",74,"$8,529 "
AAP,104.99%,499,"77,588,540",MASSACHUSETTS FINANCIAL SERVICES CO /MA/,"1,273,244","139,968",74,"$8,529 "
AAP,104.99%,499,"77,588,540",SCHRODER INVESTMENT MANAGEMENT GROUP,"1,199,079","131,815",74,"$8,529 "
AAP,104.99%,499,"77,588,540",BESSEMER GROUP INC,"1,151,248","126,557",74,"$8,529 "
AAP,104.99%,499,"77,588,540",THOMPSON SIEGEL & WALMSLEY LLC,"1,102,480","121,196",74,"$8,529 "
AAP,104.99%,499,"77,588,540",WELLS FARGO & COMPANY/MN,"958,640","105,383",74,"$8,529 "
AAP,104.99%,499,"77,588,540","ACR ALPINE CAPITAL RESEARCH, LLC","917,552","100,866",74,"$8,529 "
AAP,104.99%,499,"77,588,540",BT INVESTMENT MANAGEMENT LTD,"912,834","100,348",74,"$8,529 "
AAP,104.99%,499,"77,588,540","BRANDYWINE GLOBAL INVESTMENT MANAGEMENT, LLC","847,372","93,152",74,"$8,529 "
AAP,104.99%,499,"77,588,540",NORTHERN TRUST CORP,"840,217","92,365",74,"$8,529 "
AAP,104.99%,499,"77,588,540","GEODE CAPITAL MANAGEMENT, LLC","819,755","90,116",74,"$8,529 "
AAP,104.99%,499,"77,588,540",GOLDMAN SACHS GROUP INC,"736,369","80,949",74,"$8,529 "
AAP,104.99%,499,"77,588,540","CHAMPLAIN INVESTMENT PARTNERS, LLC","716,510","78,766",74,"$8,529 "
AAP,104.99%,499,"77,588,540","ADAGE CAPITAL PARTNERS GP, L.L.C.","713,489","78,434",74,"$8,529 "
AAP,104.99%,499,"77,588,540",CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,"697,887","76,719",74,"$8,529 "
AAP,104.99%,499,"77,588,540",STEADFAST CAPITAL MANAGEMENT LP,"695,518","76,458",74,"$8,529 "
AAP,104.99%,499,"77,588,540",JENNISON ASSOCIATES LLC,"638,164","70,153",74,"$8,529 "
AAP,104.99%,499,"77,588,540",UBS GROUP AG,"637,978","70,133",74,"$8,529 "
AAP,104.99%,499,"77,588,540",STANDARD LIFE INVESTMENTS LTD,"586,795","64,506",74,"$8,529 "
AAP,104.99%,499,"77,588,540",BANK OF NEW YORK MELLON CORP,"546,473","60,074",74,"$8,529 "
AAP,104.99%,499,"77,588,540",CAPITAL RESEARCH GLOBAL INVESTORS,"540,000","59,362",74,"$8,529 "
AAP,104.99%,499,"77,588,540",FRANKLIN RESOURCES INC,"539,675","59,326",74,"$8,529 "
